City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,galliano,29.4422,-90.2992,16.67,87,0,1.15,US,1730110627
325,savanna-la-mar,18.219,-78.1332,25.24,90,100,2.69,JM,1730110628
326,wakkanai,45.4094,141.6739,7.43,61,100,6.6,JP,1730110503
327,marsabit,2.3284,37.9899,27.23,41,97,7.24,KE,1730110631
328,san julian,21.0167,-102.1667,8.64,80,0,0.73,MX,1730110632
329,scarborough,54.2797,-0.4044,15.92,73,100,2.24,GB,1730110633
330,kidal,18.4411,1.4078,32.92,11,40,6.6,ML,1730110634
331,mogok,22.9167,96.5,24.09,69,11,1.03,MM,1730110636
332,lagos,6.5833,3.75,31.85,61,43,1.87,NG,1730110575
333,puerto carreno,6.189,-67.4859,25.15,86,100,1.04,CO,1730110640
334,morant bay,17.8815,-76.4093,27.79,84,100,2.72,JM,1730110642
335,kavieng,-2.5744,150.7967,28.66,80,99,5.57,PG,1730110643
336,trondheim,63.4305,10.3951,6.03,88,76,9.78,NO,1730110352
337,valderice,38.0401,12.6151,24.5,69,0,3.6,IT,1730110623
338,teguise,29.0605,-13.564,16.12,82,40,8.75,ES,1730110647
339,gadzhiyevo,69.2551,33.3362,5.49,87,100,11.17,RU,1730110648
340,ceeldheer,3.8488,47.1806,29.95,59,100,5.04,SO,1730110529
341,benguela,-12.5763,13.4055,26.62,68,69,4.58,AO,1730110583
342,selfoss,63.9331,-20.9971,2.8,91,100,5.49,IS,1730110282
343,alexandria,31.2156,29.9553,24.48,50,0,5.59,EG,1730110637
344,aswan,24.0934,32.907,31.94,15,0,3.31,EG,1730110656
345,mejit,10.2753,170.8646,28.53,77,14,3.01,MH,1730110657
346,tofol,5.3248,163.0078,29.25,69,26,2.5,FM,1730110659
347,prado,-17.3411,-39.2208,26.07,66,89,2.16,BR,1730110661
348,namdrik,5.5994,168.1028,29.15,65,45,3.42,MH,1730110662
349,barmer,25.75,71.3833,38.42,12,1,3.96,IN,1730110508
350,klyuchi,52.2667,79.1667,8.73,57,84,7.47,RU,1730110071
351,galle,6.0367,80.217,29.96,82,55,0.45,LK,1730110506
352,chokwe,-24.5333,32.9833,40.42,25,53,7.52,MZ,1730110667
353,serdar,38.9764,56.2757,14.21,40,4,1.56,TM,1730110668
354,gaogou,34.0175,119.1886,13.24,64,4,2.91,CN,1730110669
355,taroa,8.7058,171.2275,28.96,73,9,3.55,MH,1730110671
356,la passe,45.5549,-0.8967,14.13,80,26,2.12,FR,1730110672
